scenario,backend,trial,role,thread_id,capacity,num_consumers,ratio,ok_ops,fail_ops,window_ns,throughput_ops_s,fail_rate_pct,lat_p50_ns,lat_p99_ns,lat_max_ns,fail_lat_p50_ns,fail_lat_p99_ns,payload_bytes
rate_balanced,spmc,3,consumer,3,1024,4,balanced,1997998,11980,1004989583,1988078.3182207372,0.5960264241698168,499.91796875,512.6953125,17984.14285714286,500,542,8
rate_balanced,spmc,4,producer,0,1024,4,balanced,2008508,6031492,1005000167,1998515.0907940099,75.01855721393035,541,750,387250,84,209,8
rate_balanced,spmc,4,consumer,0,1024,4,balanced,2007505,2496,1005001083,1997515.260389028,0.12417904269699369,499.91796875,508.056640625,2018.880859375,500,542,8
rate_balanced,spmc,4,consumer,1,1024,4,balanced,2007505,2480,1004993084,1997531.1591298473,0.12338400535327379,499.91796875,506.34765625,1474.69140625,500,542,8
rate_balanced,spmc,4,consumer,2,1024,4,balanced,2007833,2142,1004988084,1997867.4692425507,0.10656848965783156,499.91796875,508.30078125,1409.341796875,500,542,8
rate_balanced,spmc,4,consumer,3,1024,4,balanced,2007504,2481,1004993125,1997530.0826062865,0.12343375696833558,499.91796875,504.55859375,1067.546875,500,542,8
rate_balanced,sync,0,producer,0,1024,4,balanced,13603,0,1000860500,13591.304682320862,0,74483.642578125,85771.76288659793,85771.76288659793,,,8
rate_balanced,sync,0,consumer,0,1024,4,balanced,13603,920273,1000848750,13591.464244722292,98.54338263324038,50333,408000,1413250,917,3667,8
rate_balanced,sync,0,consumer,1,1024,4,balanced,13603,1075182,1000854125,13591.391252946078,98.75062569745174,50375,415916,1408042,709,3750,8
rate_balanced,sync,0,consumer,2,1024,4,balanced,13603,1192117,1000843209,13591.539491576847,98.87179444647181,50459,415666,1406666,583,3833,8
rate_balanced,sync,0,consumer,3,1024,4,balanced,13603,1684000,1000858000,13591.338631454213,99.19869368751115,50292,414667,1408000,458,2292,8
rate_balanced,sync,1,producer,0,1024,4,balanced,13380,0,1003813000,13329.175852474515,0,76211.751953125,81347.16796875,81347.16796875,,,8
rate_balanced,sync,1,consumer,0,1024,4,balanced,13380,934376,1003809584,13329.22121213778,98.58824423163767,52709,441750,1468042,916,3709,8
rate_balanced,sync,1,consumer,1,1024,4,balanced,13380,1089642,1003800750,13329.338516632908,98.78696889091967,52750,437375,1493333,709,3792,8
rate_balanced,sync,1,consumer,2,1024,4,balanced,13379,1218603,1003799750,13328.355580881545,98.91402634129395,52542,436208,1481834,583,3750,8
rate_balanced,sync,1,consumer,3,1024,4,balanced,13380,1742911,1003814500,13329.155934687136,99.2381672513268,52709,438167,1487958,417,2167,8
rate_balanced,sync,2,producer,0,1024,4,balanced,13248,0,1002915416,13209.488844869846,0,75342.9375,87517.7421875,87517.7421875,,,8
rate_balanced,sync,2,consumer,0,1024,4,balanced,13248,937883,1002917583,13209.460303180267,98.60713193030193,53542,476500,1662083,916,3708,8
rate_balanced,sync,2,consumer,1,1024,4,balanced,13248,1072767,1002915417,13209.488831698754,98.78012734630737,53417,474375,1666667,709,3833,8
rate_balanced,sync,2,consumer,2,1024,4,balanced,13248,1231919,1002915250,13209.491031271087,98.9360463295285,53417,478875,1662000,583,3667,8
rate_balanced,sync,2,consumer,3,1024,4,balanced,13248,1684646,1002899500,13209.698479259387,99.21973927701022,53500,478000,1662625,458,2292,8
rate_balanced,sync,3,producer,0,1024,4,balanced,12667,0,1001236709,12651.353956699564,0,77859.212890625,87730.79296875,87730.79296875,,,8
rate_balanced,sync,3,consumer,0,1024,4,balanced,12667,945774,1001237583,12651.342913083598,98.67837456870063,56375,461750,1859458,875,3708,8
rate_balanced,sync,3,consumer,1,1024,4,balanced,12667,1093866,1001231625,12651.418197063042,98.85525330017269,56667,468083,1862417,708,3709,8
rate_balanced,sync,3,consumer,2,1024,4,balanced,12667,1230357,1001239250,12651.321849398133,98.98095290195523,56666,484542,1864000,583,3708,8
rate_balanced,sync,3,consumer,3,1024,4,balanced,12667,1700521,1001238125,12651.336064535097,99.26061821586423,56916,474917,1863500,458,2250,8
rate_balanced,sync,4,producer,0,1024,4,balanced,12803,0,1004843834,12741.283338561045,0,78432.779296875,150791.66666666666,150791.66666666666,,,8
rate_balanced,sync,4,consumer,0,1024,4,balanced,12803,948053,1004841875,12741.308178463403,98.66754227480496,55417,495250,2178458,875,3625,8
rate_balanced,sync,4,consumer,1,1024,4,balanced,12803,1094090,1004842625,12741.298668535284,98.84333896772317,55209,493916,2188334,709,3750,8
rate_balanced,sync,4,consumer,2,1024,4,balanced,12803,1241999,1004842875,12741.2954985624,98.97967966260812,55417,496959,2186459,583,3709,8
rate_balanced,sync,4,consumer,3,1024,4,balanced,12803,1709344,1004835000,12741.395353465992,99.2565675287882,55584,491042,2176167,417,2291,8
rate_prod_2x,spmc,0,producer,0,1024,4,prod_2x,2000178,6212806,1000174792,1999828.4459862693,75.64614761212246,541,709,641709,83,250,8
rate_prod_2x,spmc,0,consumer,0,1024,4,prod_2x,1999333,1001,1000167625,1998997.9179739996,0.050041643045611386,499.91796875,510.08984375,1318.765625,500,542,8
rate_prod_2x,spmc,0,consumer,1,1024,4,prod_2x,1999161,1187,1000174583,1998812.0413973767,0.059339674896568,499.91796875,515.0546875,1231.609375,500,542,8
rate_prod_2x,spmc,0,consumer,2,1024,4,prod_2x,1999161,1173,1000167542,1998826.11267543,0.058640207085416736,499.91796875,510.82421875,1212.240234375,500,542,8
rate_prod_2x,spmc,0,consumer,3,1024,4,prod_2x,1999160,1190,1000175542,1998809.1250485708,0.05948958932186867,499.91796875,513.345703125,1334.796875,500,542,8
rate_prod_2x,spmc,1,producer,0,1024,4,prod_2x,2009201,5935708,1004496792,2000206.4874688021,74.71083683903743,541,750,410209,83,208,8
rate_prod_2x,spmc,1,consumer,0,1024,4,prod_2x,2008515,478,1004497167,1999522.8119941526,0.023793014709359364,499.91796875,509.6015625,1449.462890625,500,541,8
rate_prod_2x,spmc,1,consumer,1,1024,4,prod_2x,2008196,781,1004489083,1999221.3295164304,0.03887550728554882,499.91796875,510.498046875,951.25390625,500,542,8
rate_prod_2x,spmc,1,consumer,2,1024,4,prod_2x,2008197,796,1004497083,1999206.4028721524,0.03962184039466539,499.91796875,509.521484375,1094.564453125,500,541,8
rate_prod_2x,spmc,1,consumer,3,1024,4,prod_2x,2008197,782,1004490125,1999220.2511697165,0.038925245112069365,499.91796875,508.462890625,984.212890625,500,542,8
rate_prod_2x,spmc,2,producer,0,1024,4,prod_2x,2005127,7176664,1004467125,1996209.6818250772,78.1619185189469,541,750,169209,83,208,8
rate_prod_2x,spmc,2,consumer,0,1024,4,prod_2x,2004126,4793,1004460125,1995227.0380071085,0.23858602561875317,499.91796875,513.18359375,4366.291015625,500,542,8
rate_prod_2x,spmc,2,consumer,1,1024,4,prod_2x,2004123,4807,1004476792,1995190.9451383322,0.23928160762196793,499.91796875,625,7292,125,542,8
rate_prod_2x,spmc,2,consumer,2,1024,4,prod_2x,2004125,4811,1004468542,1995209.3233398641,0.2394800033450543,499.91796875,510.498046875,4393.63671875,500,541,8
rate_prod_2x,spmc,2,consumer,3,1024,4,prod_2x,2004285,4636,1004461208,1995383.180591679,0.23077064752670715,499.91796875,515.21875,7906.25,500,542,8
rate_prod_2x,spmc,3,producer,0,1024,4,prod_2x,1969016,7719617,1000247292,1968529.19847745,79.67705041567784,541,708,3376000,83,209,8
rate_prod_2x,spmc,3,consumer,0,1024,4,prod_2x,1968012,32525,1000269084,1967482.5819169274,1.625813469083551,499.91796875,514.078125,2796500,500,542,8
rate_prod_2x,spmc,3,consumer,1,1024,4,prod_2x,1968013,32513,1000263584,1967494.399956082,1.6252225664650197,499.91796875,511.80078125,902500,500,542,8
rate_prod_2x,spmc,3,consumer,2,1024,4,prod_2x,1968012,32519,1000266167,1967488.319536454,1.6255184248582002,499.91796875,666,2796500,500,542,8
rate_prod_2x,spmc,3,consumer,3,1024,4,prod_2x,1968680,31840,1000260750,1968166.8005067678,1.5915861875912263,499.91796875,625,1107083,500,541,8
rate_prod_2x,spmc,4,producer,0,1024,4,prod_2x,1984782,7743566,1004991416,1974924.3310949833,79.5979543494949,541,750,1214916,83,208,8
rate_prod_2x,spmc,4,consumer,0,1024,4,prod_2x,1983778,26211,1004995041,1973918.1976719825,1.3040369872670945,499.91796875,500.244140625,9445.3125,500,542,8
rate_prod_2x,spmc,4,consumer,1,1024,4,prod_2x,1983778,26209,1004994084,1973920.0773245548,1.303938781693613,499.91796875,542,7824.298828125,500,542,8
rate_prod_2x,spmc,4,consumer,2,1024,4,prod_2x,1983778,26191,1004985167,1973937.591458999,1.3030549227376143,499.91796875,500.244140625,9445.3125,500,542,8
rate_prod_2x,spmc,4,consumer,3,1024,4,prod_2x,1983777,26204,1004991125,1973924.8941128708,1.3036939155146243,499.91796875,625,15943.197265625,500,541,8
