scenario,backend,trial,role,thread_id,capacity,num_consumers,ratio,ok_ops,fail_ops,window_ns,throughput_ops_s,fail_rate_pct,lat_p50_ns,lat_p99_ns,lat_max_ns,fail_lat_p50_ns,fail_lat_p99_ns,payload_bytes
cmp_slowest_consumer_gates,sync,4,consumer,0,4,2,max,177737,4761613,1004998500,176853.00027810986,96.4016115480782,5542,21292,6130250,167,958,8
cmp_slowest_consumer_gates,sync,4,consumer,1,4,2,max,177737,5686356,1004999791,176852.77309674583,96.96906239379219,5542,21334,1527729.25,167,292,8
cmp_wrap_around_sustained,spmc,0,producer,0,1024,2,balanced,2003618,2001630,1001346041,2000924.673351757,49.975182560480654,542,750,19792,209,292,8
cmp_wrap_around_sustained,spmc,0,consumer,0,1024,2,balanced,2002635,0,1001318083,1999998.8355348618,0,499.91796875,500,525.064453125,,,8
cmp_wrap_around_sustained,spmc,0,consumer,1,1024,2,balanced,2002624,0,1001312625,1999998.7516386304,0,499.91796875,500,532.958984375,,,8
cmp_wrap_around_sustained,spmc,1,producer,0,1024,2,balanced,2003276,2001222,1001136042,2001002.7768034346,49.97435383910792,521,792,64708,208,292,8
cmp_wrap_around_sustained,spmc,1,consumer,0,1024,2,balanced,2002273,0,1001137166,1999998.6695129846,0,499.91796875,500,543.048828125,,,8
cmp_wrap_around_sustained,spmc,1,consumer,1,1024,2,balanced,2002285,0,1001143125,1999998.7514272747,0,499.919921875,500.08203125,574.13671875,,,8
cmp_wrap_around_sustained,spmc,2,producer,0,1024,2,balanced,2002924,2000939,1000966250,2000990.5428879345,49.975211439552254,520.5,791,71917,250,291,8
cmp_wrap_around_sustained,spmc,2,consumer,0,1024,2,balanced,2001919,0,1000960334,1999998.3336003004,0,499.919921875,500,578.20703125,,,8
cmp_wrap_around_sustained,spmc,2,consumer,1,1024,2,balanced,2001920,0,1000960583,1999998.835118965,0,499.91796875,500,598.958984375,,,8
cmp_wrap_around_sustained,spmc,3,producer,0,1024,2,balanced,2010214,2008217,1004608250,2000992.9243563348,49.9751519934024,542,584,37792,208,333,8
cmp_wrap_around_sustained,spmc,3,consumer,0,1024,2,balanced,2009223,0,1004612084,1999998.8373621833,0,499.919921875,500,543.865234375,,,8
cmp_wrap_around_sustained,spmc,3,consumer,1,1024,2,balanced,2009214,0,1004607584,1999998.8373569753,0,499.919921875,500,577.9609375,,,8
cmp_wrap_around_sustained,spmc,4,producer,0,1024,2,balanced,2010999,2008999,1004999791,2000994.4459779495,49.975124365733514,500,584,13167,209,333,8
cmp_wrap_around_sustained,spmc,4,consumer,0,1024,2,balanced,2009995,0,1004998125,1999998.756216585,0,499.919921875,500,508.626953125,,,8
cmp_wrap_around_sustained,spmc,4,consumer,1,1024,2,balanced,2009994,0,1004997542,1999998.9213903968,0,499.919921875,500,551.26953125,,,8
cmp_wrap_around_sustained,sync,0,producer,0,1024,2,balanced,2010956,1340898,1005021125,2000909.184869124,40.00466607435765,514,708,29625,167,292,8
